,OrderID,ProductNo,Volume,BuildByDate,OrderDate,PrepDate,PrepVolume,UnitizeNLT,ShipNLTDate,BulkQCDate,AmpDate,GreenSheet,SOLink,Notes
71,102518.0,SVM-8271-1,50.0,2019-07-19 00:00:00,2019-07-16,2020-03-10,50.0,2019-07-22 00:00:00,2019-07-29 00:00:00,2020-03-10,2020-03-10,2019-07-26 00:00:00,101071882,monthly
72,101866.0,SVM-8271-1,50.0,2019-06-17 00:00:00,2019-06-13,2020-03-10,50.0,2019-06-18 00:00:00,2019-06-27 00:00:00,2020-03-10,2020-03-10,2019-06-26 00:00:00,101063153,
73,101866.0,SVM-8271-1,50.0,2019-06-17 00:00:00,2019-06-13,2020-03-10,50.0,2019-06-18 00:00:00,2019-06-27 00:00:00,2020-03-10,2020-03-10,2019-06-26 00:00:00,101063153,
74,101041.0,SVM-8271-1,50.0,2019-05-22 00:00:00,2019-05-13,2020-03-10,50.0,2019-05-23 00:00:00,2019-05-28 00:00:00,2020-03-10,2020-03-10,2019-05-24 00:00:00,101052914,Monthly
75,101041.0,SVM-8271-1,50.0,2019-05-22 00:00:00,2019-05-13,2020-03-10,50.0,2019-05-23 00:00:00,2019-05-28 00:00:00,2020-03-10,2020-03-10,2019-05-24 00:00:00,101052914,Monthly
76,107682.0,SVM-8271-1,50.0,2020-02-14 00:00:00,2020-02-11,2020-03-10,50.0,2020-02-18 00:00:00,2020-02-28 00:00:00,2020-03-10,2020-03-10,2020-02-27 00:00:00,101142409,monthly- unitize 20
77,107682.0,SVM-8271-1,50.0,2020-02-14 00:00:00,2020-02-11,2020-03-10,50.0,2020-02-18 00:00:00,2020-02-28 00:00:00,2020-03-10,2020-03-10,2020-02-27 00:00:00,101142409,monthly- unitize 20
78,105923.0,80-6002-68,200.0,2020-01-07 00:00:00,2020-01-06,2020-01-25,200.0,2020-01-08 00:00:00,2020-01-17 00:00:00,2020-01-27,2020-01-27,2020-01-16 00:00:00,101129163,waiting for reagents to be sent for QC testing.
79,95877.0,80-6002-68,200.0,2018-09-21 00:00:00,2018-09-17,2020-01-25,200.0,2018-09-24 00:00:00,2018-09-26 00:00:00,2020-01-27,2020-01-27,2018-09-25 00:00:00,9930002867,
80,88985.0,80-6002-68,200.0,2017-12-06 00:00:00,2017-12-04,2020-01-25,200.0,2017-12-07 00:00:00,2017-12-18 00:00:00,2020-01-27,2020-01-27,2017-12-15 00:00:00,9920351917,Biochrom labels and CofA
