CofA File,Timestamp
G:\C of A's\Agilent\5063-6521\part 5063-6521 CofA Lot # 0006489033.pdf,2019-09-05 13:08:04.862904
G:\C of A's\Agilent\5190-0482\part 5190-0482 CofA Lot # 0006489044.pdf,2019-09-05 13:00:52.690691
G:\C of A's\Agilent\8500-5904\part 8500-5904 CofA Lot # 0006489086.pdf,2019-09-05 13:14:33.918412
G:\C of A's\Agilent\G1969-85001\part G1969-85001 CofA Lot # 0006489105.pdf,2019-09-05 12:51:45.591022
G:\C of A's\Agilent\G1969-85026 (Flushing Solvent)\part G1969-85026 CofA Lot # 0006482396.pdf,2019-09-05 13:48:12.979949
G:\C of A's\Agilent\G1969-85026 (Flushing Solvent)\part G1969-85026 CofA Lot # 0006482397.pdf,2019-09-05 13:49:16.130137
