127.0.0.1, 2019-10-01 10:33:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 10:33:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2019-10-01 10:33:59, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.236000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:34:00, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:39:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-10-01 10:39:56, GET, /admin/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2019-10-01 10:39:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 10:40:03, POST, /admin/default/index, HTTP/1.1, 303, 0.018000
127.0.0.1, 2019-10-01 10:40:03, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2019-10-01 10:40:03, POST, /admin/default/check_version, HTTP/1.1, 200, 0.237000
127.0.0.1, 2019-10-01 10:40:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
