QCDate,2019-12-02 00:00:00,2019-12-02 00:00:00,2019-12-03 00:00:00,2019-12-03 00:00:00,2019-12-03 00:00:00,2019-12-04 00:00:00,2019-12-04 00:00:00,2019-12-05 00:00:00,2019-12-06 00:00:00,2019-12-09 00:00:00,2019-12-09 00:00:00,2019-12-10 00:00:00,2019-12-11 00:00:00,2019-12-11 00:00:00,2019-12-12 00:00:00,2019-12-13 00:00:00,2019-12-14 00:00:00,2019-12-16 00:00:00,2019-12-16 00:00:00,2019-12-17 00:00:00,2019-12-18 00:00:00,2019-12-18 00:00:00,2019-12-18 00:00:00,2019-12-19 00:00:00,2019-12-19 00:00:00,2019-12-19 00:00:00,2019-12-20 00:00:00,2019-12-23 00:00:00,2019-12-23 00:00:00,2019-12-24 00:00:00,2019-12-26 00:00:00,2019-12-27 00:00:00,2019-12-27 00:00:00,2019-12-30 00:00:00,2019-12-30 00:00:00,2019-12-31 00:00:00,2019-12-31 00:00:00
QCValidation,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0
PfBatchID,20,1,15,2,1,21,3,18,15,21,2,38,19,1,27,27,1,28,2,22,23,1,1,23,1,1,6,18,3,4,15,34,1,49,1,18,1
