QCDate,2020-01-15 00:00:00,2020-01-15 00:00:00,2020-01-16 00:00:00,2020-01-16 00:00:00,2020-01-17 00:00:00,2020-01-17 00:00:00,2020-01-21 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-03 00:00:00,2020-02-03 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00
QCValidation,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
Count,18,1,28,1,16,1,29,2,43,18,1,23,1,3,35,14,24,21,1,8,10,1,2,33,23,1,41,1,29,3,2,47,41,25,33,1,4
